STATION,STATION_NAME,,,STATE,,DATE,TIME,QPCP,Measurement Flag Quality Flag,Units
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710508,18:15,0.4,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710512,18:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710513,1:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710513,5:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710514,17:30,0.3,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710514,17:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710514,18:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710514,19:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710515,5:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710515,11:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710522,1:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710526,20:00,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710526,20:15,0.7,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710526,20:30,0.7,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710526,20:45,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710527,16:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710528,15:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710530,15:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710601,0:15,0,g,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710604,15:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710604,15:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710610,18:15,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710611,7:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710613,10:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710614,17:15,0.3,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710614,17:30,0.5,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710614,17:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710614,18:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710615,16:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710615,16:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710619,16:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710619,23:00,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710622,13:45,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710622,14:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710623,5:45,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710624,14:00,0.5,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710624,14:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710626,14:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710626,14:30,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710629,12:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710630,20:15,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710630,20:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710630,21:15,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710630,21:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710701,0:15,0,g,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710704,18:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710704,19:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710704,20:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710704,21:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710705,18:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710705,19:00,0.2,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710706,15:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710706,16:00,0.2,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,14:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,15:00,0.2,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,16:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,17:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,18:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710708,19:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710710,21:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710710,22:00,0.6,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710716,10:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710716,11:00,0.8,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710717,11:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710717,12:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710717,15:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710717,16:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710719,14:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710719,15:00,0.2,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710720,12:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710720,13:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710721,23:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710724,13:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710724,14:00,0.4,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710724,14:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710724,15:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710725,12:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710725,13:00,0.3,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710726,15:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710726,16:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710727,13:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710727,14:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710727,17:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710727,18:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710728,15:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710728,16:00,0.2,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710728,16:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710728,17:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710731,19:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710731,20:00,1.8,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710731,20:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710731,21:00,0.1,A,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710731,23:15,999.99,a,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710801,0:15,0,g,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710801,19:15,0.2,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710801,19:45,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710803,20:15,0.3,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710803,20:30,0.1,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710804,15:15,0.3,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710804,16:45,0.5,,HT
COOP:083321,GAINESVILLE,3,WSW,FL,US,19710804,17:00,0.1,,HT
